Aurora Beck Rec Cntr,F1,2:00,1 teams,.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	
Berkley Park Rec Cntr,F2,1:00,1 teams,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	
Broomfield Rec Cntr,F3,11:00 12:00,3 teams LIMITED SPACE,..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	..EN...	
Chilson Senior Cntr,F20,12;00,2 teams LIMITED SPACE,.......	.......	.......	.......	.......	.......	.......	.......	.......	.......	
Colorado Springs,F4,12:00 1:00,2 teams,...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	
Commerce City Rec Cntr,F5,12:00 1:00 2:00 3:00,8 teams LIMITED SPACE,...N123	...N123	...N123	...N123	...N123	...N123	...N123	...N123	...N123	...N123	
East Boulder Rec Cntr,F6,2:00 2:01,2 teams,.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	.....2.	
Erie Community Cntr,F19,11:30,2 teams LIMITED SPACE,..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....	..E....	
Evergreen Wulf Rec Cntr,F8,1:00 2:00 3:00,3 teams,....123	....123	....123	....123	....123	....123	....123	....123	....123	....123	
Golden Grampsas Rec Cntr,F9,12:00 1:00,4 teams LIMITED SPACE,...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	
Greeley Rec Center,F10,12:00 1:00 2:00,7 teams LIMITED SPACE,...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	...N12.	
Harvard Gulch Rec Center,F23,12:00,2 teams LIMITED SPACE,...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...	...N...	
Lafayette Burger Rec Cntr,F11,1:00 2:00,2 teams,....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	....12.	
Lakewood Whitlock Cntr,F12,11:00 12:00 1:00 2:00,7 teams LIMITED SPACE,..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	..EN12.	
Littleton Goodson Rec Cntr,F13,1:45,2 teams LIMITED SPACE,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	
Longmont Memorial Rec Cntr,F14,12:30 1:30,4 teams LIMITED SPACE,...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	...N1..	
Thornton Community Cntr,F16,1:00,1 teams,....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	....1..	
Westminster City Park Rec Cntr,F18,9:00 10:00 11:00,7 teams LIMITED SPACE,9TE....	9TE....	9TE....	9TE....	9TE....	9TE....	9TE....	9TE....	9TE....	9TE....	

  
